Participant ID;Task ID;Layout ID;Date;Q1;Q2;Q3;Q4;Q5;Q6
1;Linear;1;08-dec;2;4;3;4;10;1
1;Unrestricted;4;08-dec;8;9;10;10;9;7
1;Grid;3;08-dec;1;1;1;1;10;1
1;Circular;2;08-dec;3;4;1;5;10;2
2;Grid;3;08-dec;1;3;2;1;10;1
2;Linear;1;08-dec;2;2;5;2;10;1
2;Unrestricted;4;08-dec;1;4;4;3;9;1
2;Circular;2;08-dec;1;6;4;6;8;1
3;Grid;3;08-dec;7;6;3;8;7;6
3;Circular;2;08-dec;7;8;5;8;6;7
3;Unrestricted;4;08-dec;5;6;4;8;7;4
3;Linear;1;08-dec;7;4;4;5;7;4
4;Grid;3;08-dec;3;3;2;3;10;1
4;Circular;2;08-dec;3;5;3;4;10;1
4;Unrestricted;4;08-dec;4;4;3;3;10;2
4;Linear;1;08-dec;3;3;2;2;10;1
5;Circular;2;08-dec;3;4;1;2;9;2
5;Unrestricted;4;08-dec;2;2;2;2;2;2
5;Linear;1;08-dec;2;2;2;2;10;1
5;Grid;3;08-dec;2;2;1;2;10;1
6;Unrestricted;4;08-dec;3;3;1;1;10;1
6;Linear;1;08-dec;3;3;1;1;10;1
6;Grid;3;08-dec;3;3;1;2;10;1
6;Circular;2;08-dec;3;3;2;2;10;1
7;Grid;3;09-dec;6;7;6;8;9;7
7;Unrestricted;4;09-dec;5;7;6;8;10;6
7;Circular;2;09-dec;7;7;7;7;9;6
7;Linear;1;09-dec;6;8;6;8;10;5
8;Circular;2;09-dec;1;3;1;2;10;1
8;Linear;1;09-dec;2;2;1;2;9;1
8;Grid;3;09-dec;1;2;1;2;9;1
8;Unrestricted;4;09-dec;3;3;3;4;8;1
9;Grid;3;09-dec;1;2;1;1;8;1
9;Linear;1;09-dec;4;6;2;3;9;2
9;Unrestricted;4;09-dec;2;2;1;1;9;1
9;Circular;2;09-dec;6;6;1;3;9;2
10;Grid;3;09-dec;3;3;1;2;9;1
10;Unrestricted;4;09-dec;2;4;1;3;10;1
10;Linear;1;09-dec;1;3;1;2;8;2
10;Circular;2;09-dec;3;6;2;4;9;1
11;Circular;2;09-dec;4;5;1;6;7;4
11;Grid;3;09-dec;6;4;2;3;9;2
11;Unrestricted;4;09-dec;4;4;2;2;10;2
11;Linear;1;09-dec;3;4;1;4;7;3
12;Circular;2;09-dec;6;9;3;9;10;8
12;Grid;3;09-dec;5;6;2;6;10;3
12;Unrestricted;4;09-dec;4;6;3;3;10;2
12;Linear;1;09-dec;2;4;1;2;10;1
